d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
4.545226e-07,454.522613,3.548225e-04,6.48971245e-04,1.00064897e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.603015e-07,460.301508,3.083133e-04,4.23972592e-04,1.00042397e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.660804e-07,466.080402,2.678550e-04,1.98793780e-04,1.00019879e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.718593e-07,471.859296,2.326688e-04,-2.36666776e-05,9.99976333e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.776382e-07,477.638191,2.020744e-04,-2.40613725e-04,9.99759386e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.834171e-07,483.417085,1.754782e-04,-4.49387668e-04,9.99550612e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.891960e-07,489.195980,1.523622e-04,-6.47493804e-04,9.99352506e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.949749e-07,494.974874,1.322748e-04,-8.32629449e-04,9.99167371e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.007538e-07,500.753769,1.148222e-04,-1.00270810e-03,9.98997292e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.065327e-07,506.532663,9.966118e-05,-1.15588052e-03,9.98844119e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.123116e-07,512.311558,8.649299e-05,-1.29055247e-03,9.98709448e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.180905e-07,518.090452,7.505731e-05,-1.40539905e-03,9.98594601e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.238693e-07,523.869347,6.512754e-05,-1.49937545e-03,9.98500625e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.296482e-07,529.648241,5.650649e-05,-1.57172411e-03,9.98428276e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.354271e-07,535.427136,4.902258e-05,-1.62197815e-03,9.98378022e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.412060e-07,541.206030,4.252655e-05,-1.64996130e-03,9.98350039e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.469849e-07,546.984925,3.688861e-05,-1.65578415e-03,9.98344216e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.527638e-07,552.763819,3.199590e-05,-1.63983703e-03,9.98360163e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.585427e-07,558.542714,2.775032e-05,-1.60277956e-03,9.98397220e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.643216e-07,564.321608,2.406662e-05,-1.54552705e-03,9.98454473e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.701005e-07,570.100503,2.087069e-05,-1.46923405e-03,9.98530766e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.758794e-07,575.879397,1.809818e-05,-1.37527520e-03,9.98624725e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.816583e-07,581.658291,1.569316e-05,-1.26522375e-03,9.98734776e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.874372e-07,587.437186,1.360708e-05,-1.14082794e-03,9.98859172e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.932161e-07,593.216080,1.179776e-05,-1.00398572e-03,9.98996014e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.989950e-07,598.994975,1.022857e-05,-8.56718003e-04,9.99143282e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.047739e-07,604.773869,8.867742e-06,-7.01140868e-04,9.99298859e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.105528e-07,610.552764,7.687661e-06,-5.39437085e-04,9.99460563e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.163317e-07,616.331658,6.664378e-06,-3.73827291e-04,9.99626173e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.221106e-07,622.110553,5.777103e-06,-2.06541197e-04,9.99793459e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.278894e-07,627.889447,5.007795e-06,-3.97891697e-05,9.99960211e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.336683e-07,633.668342,4.340799e-06,1.24265449e-04,1.00012427e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.394472e-07,639.447236,3.762532e-06,2.83532977e-04,1.00028353e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.452261e-07,645.226131,3.261212e-06,4.36022647e-04,1.00043602e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.510050e-07,651.005025,2.826615e-06,5.79866204e-04,1.00057987e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.567839e-07,656.783920,2.449874e-06,7.13339571e-04,1.00071334e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.625628e-07,662.562814,2.123298e-06,8.34882345e-04,1.00083488e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
