d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
4.603015e-07,460.301508,3.083133e-04,5.47115917e-06,1.00000547e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.07744213e-06
4.660804e-07,466.080402,2.678550e-04,4.71249911e-06,1.00000471e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.51234247e-06
4.718593e-07,471.859296,2.326688e-04,4.06079891e-06,1.00000406e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.94539915e-06
4.776382e-07,477.638191,2.020744e-04,3.50053435e-06,1.00000350e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.39151806e-06
4.834171e-07,483.417085,1.754782e-04,3.01850630e-06,1.00000302e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.86163644e-06
4.891960e-07,489.195980,1.523622e-04,2.60348637e-06,1.00000260e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.36340715e-06
4.949749e-07,494.974874,1.322748e-04,2.24591597e-06,1.00000225e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.90180187e-06
5.007538e-07,500.753769,1.148222e-04,1.93765109e-06,1.00000194e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.47963729e-06
5.065327e-07,506.532663,9.966118e-05,1.67174618e-06,1.00000167e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.09802889e-06
5.123116e-07,512.311558,8.649299e-05,1.44227130e-06,1.00000144e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.75677827e-06
5.180905e-07,518.090452,7.505731e-05,1.24415761e-06,1.00000124e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.45469985e-06
5.238693e-07,523.869347,6.512754e-05,1.07306685e-06,1.00000107e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.18989336e-06
5.296482e-07,529.648241,5.650649e-05,9.25281193e-07,1.00000093e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,9.59968147e-07
5.354271e-07,535.427136,4.902258e-05,7.97610234e-07,1.00000080e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.62225163e-07
