d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
3.447236e-07,344.723618,4.861546e-03,5.58625628e-04,1.00055863e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,6.26373817e-04
3.505025e-07,350.502513,4.251478e-03,4.79052335e-04,1.00047905e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.10098968e-04
3.562814e-07,356.281407,3.715845e-03,4.10697794e-04,1.00041070e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.01131903e-04
3.620603e-07,362.060302,3.245963e-03,3.52020557e-04,1.00035202e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.02104249e-04
3.678392e-07,367.839196,2.834084e-03,3.01680817e-04,1.00030168e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.14630051e-04
3.736181e-07,373.618090,2.473314e-03,2.58516235e-04,1.00025852e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.39476364e-04
3.793970e-07,379.396985,2.157526e-03,2.21520215e-04,1.00022152e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.67300490e-05
3.851759e-07,385.175879,1.881287e-03,1.89822473e-04,1.00018982e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.59542901e-05
3.909548e-07,390.954774,1.639789e-03,1.62671744e-04,1.00016267e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.36696536e-05
3.967337e-07,396.733668,1.428779e-03,1.39420421e-04,1.00013942e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-4.32181352e-05
4.025126e-07,402.512563,1.244502e-03,1.19511001e-04,1.00011951e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.39195027e-05
4.082915e-07,408.291457,1.083651e-03,1.02464123e-04,1.00010246e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.70672738e-05
4.140704e-07,414.070352,9.433101e-04,8.78680757e-05,1.00008787e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-8.39513356e-05
4.198492e-07,419.849246,8.209163e-04,7.53696069e-05,1.00007537e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-8.58057889e-05
4.256281e-07,425.628141,7.142166e-04,6.46658920e-05,1.00006467e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-8.37716550e-05
4.314070e-07,431.407035,6.212330e-04,5.54975430e-05,1.00005550e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.88724459e-05
4.371859e-07,437.185930,5.402305e-04,4.76425305e-05,1.00004764e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.20005237e-05
4.429648e-07,442.964824,4.696883e-04,4.09109135e-05,1.00004091e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.39122123e-05
4.487437e-07,448.743719,4.082743e-04,3.51402796e-05,1.00003514e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-5.52297430e-05
4.545226e-07,454.522613,3.548225e-04,3.01918066e-05,1.00003019e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-4.64482905e-05
4.603015e-07,460.301508,3.083133e-04,2.59468685e-05,1.00002595e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.79465641e-05
4.660804e-07,466.080402,2.678550e-04,2.23041137e-05,1.00002230e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.99996423e-05
4.718593e-07,471.859296,2.326688e-04,1.91769557e-05,1.00001918e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.27929648e-05
4.776382e-07,477.638191,2.020744e-04,1.64914197e-05,1.00001649e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.64366144e-05
4.834171e-07,483.417085,1.754782e-04,1.41842983e-05,1.00001418e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.09792202e-05
4.891960e-07,489.195980,1.523622e-04,1.22015729e-05,1.00001220e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.42099619e-06
4.949749e-07,494.974874,1.322748e-04,1.04970644e-05,1.00001050e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.72558249e-06
5.007538e-07,500.753769,1.148222e-04,9.03128157e-06,1.00000903e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.69508282e-07
5.065327e-07,506.532663,9.966118e-05,7.77043745e-06,1.00000777e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.34393158e-06
5.123116e-07,512.311558,8.649299e-05,6.68561173e-06,1.00000669e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.88704477e-06
5.180905e-07,518.090452,7.505731e-05,5.75203635e-06,1.00000575e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.89187628e-06
5.238693e-07,523.869347,6.512754e-05,4.94848721e-06,1.00000495e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.45042676e-06
5.296482e-07,529.648241,5.650649e-05,4.25676614e-06,1.00000426e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.65016839e-06
5.354271e-07,535.427136,4.902258e-05,3.66125988e-06,1.00000366e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.57159186e-06
5.412060e-07,541.206030,4.252655e-05,3.14856454e-06,1.00000315e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.28664391e-06
5.469849e-07,546.984925,3.688861e-05,2.70716583e-06,1.00000271e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.85790023e-06
5.527638e-07,552.763819,3.199590e-05,2.32716672e-06,1.00000233e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.33832625e-06
5.585427e-07,558.542714,2.775032e-05,2.00005536e-06,1.00000200e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.77149048e-06
5.643216e-07,564.321608,2.406662e-05,1.71850721e-06,1.00000172e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.19210979e-06
5.701005e-07,570.100503,2.087069e-05,1.47621625e-06,1.00000148e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.62682218e-06
5.758794e-07,575.879397,1.809818e-05,1.26775093e-06,1.00000127e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.09509897e-06
5.816583e-07,581.658291,1.569316e-05,1.08843101e-06,1.00000109e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.61022438e-06
5.874372e-07,587.437186,1.360708e-05,9.34222312e-07,1.00000093e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.18028577e-06
5.932161e-07,593.216080,1.179776e-05,8.01646586e-07,1.00000080e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.09131026e-07
5.989950e-07,598.994975,1.022857e-05,6.87704306e-07,1.00000069e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.97262150e-07
6.047739e-07,604.773869,8.867742e-06,5.89808438e-07,1.00000059e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.42644101e-07
6.105528e-07,610.552764,7.687661e-06,5.05727580e-07,1.00000051e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.14168126e-08
6.163317e-07,616.331658,6.664378e-06,4.33537096e-07,1.00000043e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.11494814e-07
6.221106e-07,622.110553,5.777103e-06,3.71577066e-07,1.00000037e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.21872600e-07
6.278894e-07,627.889447,5.007795e-06,3.18416091e-07,1.00000032e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.95794042e-07
6.336683e-07,633.668342,4.340799e-06,2.72820088e-07,1.00000027e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.39311221e-07
6.394472e-07,639.447236,3.762532e-06,2.33725372e-07,1.00000023e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.58210463e-07
6.452261e-07,645.226131,3.261212e-06,2.00215429e-07,1.00000020e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.57842536e-07
6.510050e-07,651.005025,2.826615e-06,1.71500848e-07,1.00000017e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.43012793e-07
6.567839e-07,656.783920,2.449874e-06,1.46901976e-07,1.00000015e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.17920884e-07
6.625628e-07,662.562814,2.123298e-06,1.25833928e-07,1.00000013e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.86140153e-07
6.683417e-07,668.341709,1.840216e-06,1.07793621e-07,1.00000011e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.50627716e-07
6.741206e-07,674.120603,1.594842e-06,9.23485549e-08,1.00000009e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.13757182e-07
6.798995e-07,679.899497,1.382160e-06,7.91271112e-08,1.00000008e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.77367033e-07
6.856784e-07,685.678392,1.197819e-06,6.78101593e-08,1.00000007e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.42818808e-07
6.914573e-07,691.457286,1.038046e-06,5.81237964e-08,1.00000006e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.11060266e-07
6.972362e-07,697.236181,8.995697e-07,4.98330683e-08,1.00000005e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-8.26897178e-08
7.030151e-07,703.015075,7.795546e-07,4.27365433e-08,1.00000004e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-5.80185974e-08
7.087940e-07,708.793970,6.755415e-07,3.66616216e-08,1.00000004e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.71301670e-08
7.145729e-07,714.572864,5.853985e-07,3.14604855e-08,1.00000003e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.99329151e-08
7.203518e-07,720.351759,5.072775e-07,2.70066034e-08,1.00000003e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.20779058e-09
7.261307e-07,726.130653,4.395764e-07,2.31917137e-08,1.00000002e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.35112063e-09
7.319095e-07,731.909548,3.809063e-07,1.99232257e-08,1.00000002e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.21025040e-08
7.376884e-07,737.688442,3.300633e-07,1.71219807e-08,1.00000002e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.74300618e-08
7.434673e-07,743.467337,2.860039e-07,1.47203250e-08,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.07206489e-08
7.492462e-07,749.246231,2.478235e-07,1.26604529e-08,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.23477262e-08
7.550251e-07,755.025126,2.147381e-07,1.08929832e-08,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.26594796e-08
7.608040e-07,760.804020,1.860681e-07,9.37573675e-09,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.19709295e-08
7.665829e-07,766.582915,1.612246e-07,8.07268889e-09,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.05593576e-08
7.723618e-07,772.361809,1.396971e-07,6.95307080e-09,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.86624106e-08
7.781407e-07,778.140704,1.210432e-07,5.99060068e-09,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.64782925e-08
7.839196e-07,783.919598,1.048795e-07,5.16282585e-09,1.00000001e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.41675166e-08
7.896985e-07,789.698492,9.087362e-08,4.45056037e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.18557568e-08
7.954774e-07,795.477387,7.873765e-08,3.83740469e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,9.63740898e-09
8.012563e-07,801.256281,6.822203e-08,3.30933572e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.57953899e-09
8.070352e-07,807.035176,5.911048e-08,2.85435701e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.72596144e-09
8.128141e-07,812.814070,5.121558e-08,2.46220067e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.10124903e-09
8.185930e-07,818.592965,4.437492e-08,2.12407327e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.71452714e-09
8.243719e-07,824.371859,3.844777e-08,1.83243945e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.56295214e-09
8.301508e-07,830.150754,3.331217e-08,1.58083764e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,6.34810487e-10
8.359296e-07,835.929648,2.886243e-08,1.36372320e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-8.77931190e-11
8.417085e-07,841.708543,2.500698e-08,1.17633485e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.26665736e-10
8.474874e-07,847.487437,2.166646e-08,1.01458103e-09,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.00566262e-09
8.532663e-07,853.266332,1.877212e-08,8.74943054e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.24920474e-09
8.590452e-07,859.045226,1.626437e-08,7.54392700e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.38114280e-09
8.648241e-07,864.824121,1.409158e-08,6.50321997e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.42392770e-09
8.706030e-07,870.603015,1.220903e-08,5.60483340e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.39804484e-09
8.763819e-07,876.381910,1.057795e-08,4.82938439e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.32166951e-09
8.821608e-07,882.160804,9.164747e-09,4.16014740e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.21050237e-09
8.879397e-07,887.939698,7.940330e-09,3.58268196e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.07774679e-09
8.937186e-07,893.718593,6.879480e-09,3.08451429e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-9.34193510e-10
8.994975e-07,899.497487,5.960350e-09,2.65486491e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.88382618e-10
9.052764e-07,905.276382,5.164010e-09,2.28441518e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-6.46816764e-10
9.110553e-07,911.055276,4.474057e-09,1.96510705e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-5.14204241e-10
9.168342e-07,916.834171,3.876280e-09,1.68997106e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-3.93714591e-10
9.226131e-07,922.613065,3.358367e-09,1.45297852e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-2.87233147e-10
9.283920e-07,928.391960,2.909647e-09,1.24891432e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.95604469e-10
9.341709e-07,934.170854,2.520879e-09,1.07326712e-10,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.18857421e-10
9.399497e-07,939.949749,2.184052e-09,9.22134848e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-5.64074296e-11
9.457286e-07,945.728643,1.892227e-09,7.92142929e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.23324582e-12
9.515075e-07,951.507538,1.639393e-09,6.80373754e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.99725460e-11
9.572864e-07,957.286432,1.420341e-09,5.84305413e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,5.66789089e-11
9.630653e-07,963.065327,1.230556e-09,5.01758902e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.44162174e-11
9.688442e-07,968.844221,1.066129e-09,4.30852256e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.46985999e-11
9.746231e-07,974.623116,9.236716e-10,3.69960725e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.89662916e-11
9.804020e-07,980.402010,8.002490e-10,3.17682436e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.85454090e-11
9.861809e-07,986.180905,6.933177e-10,2.72808338e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.46223606e-11
9.919598e-07,991.959799,6.006743e-10,2.34296290e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.82303536e-11
9.977387e-07,997.738693,5.204098e-10,2.01248558e-11,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.02455161e-11
1.003518e-06,1003.517588,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
1.009296e-06,1009.296482,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
1.015075e-06,1015.075377,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
1.020854e-06,1020.854271,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
1.026633e-06,1026.633166,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
1.032412e-06,1032.412060,0.000000e+00,0.00000000e+00,1.00000000e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,0.00000000e+00
